sender,amount
terra18lz26xw74msegcawgwmghl4geewjyw9mruez6u,17000000
terra18lz26xw74msegcawgwmghl4geewjyw9mruez6u,380000000
terra1q8dy5t5dtm4mh0pdmpekwuduxngfwy3wenxvxx,135664062
terra1jv60yf3dxk092feg2vy5jaq0cg5a0pq889h0xm,100000000
terra1n62umqgx722up64l2stpfy430krypm3jrcqk3x,50000000
terra1078dulc344ns9w2ak2d7qetfxrnf66wfadf9yr,7913712
terra1m75lehxkerm9u20ww8hq0uw2a0nldgmrrsvr6f,20000000
terra1evl89k99mgadz6549tlnttydslxwxgtd99j50n,50000000
terra1pmp5pn4jdaew0e2tryz373e8whac40esazmcma,169860000
terra1f4lgzzkaphhcjdww0hlzjuwkth90p95t6qamad,125000000
terra10mmjux0wrc30uvq6zstfl48y3rcas2f8frvrd4,160000000
terra1zfm47lnjd67tnlvml8e37cdquvadmy8jnwy3dr,125000000
terra1c2sd4ukwwler26zlc6vx829hacqhlqla3vs7zh,51370000
terra179ll900l0hs3etwc2n0s9jn8xc8qmnsjvgr5wh,96497845
terra1fpg42kq42v86yvhd2swmdmg8l6e76nd3pngk7g,25642736
terra1utg2wnhk253lgmywq4pupsdjes0lx55pn5p3zx,69045362
terra149zsjtjv9hulpwcsmz0vzavfcvtagp7zpurlxu,3622862
terra1whw4svzhnf0623fxegkjmaea6md4hzev9uupln,11815804
terra1ldtydjjlrjevmqqpp32rm4acn5x5uzycw8h5f3,315000000
terra123n75aa2a9acvqsvglfzjjd7m3s2vedu8qwxvd,2846263
terra1kj3cyxpvun0x20dlztpzehhmzl7fvesssqj5vk,169860000
terra1a2m596v0twndmhmde6gfttsnzgwwam5ph6e65n,65410000
terra1tcctlrkxr83s6rz065whvry9jv7j8ws9ejf269,259590000
terra1jut79ghxppdagdyzklgm9f70wccgvf39pzufk9,14082839
terra1wtwsl5h6wahdlwgtf2up5w0rn2jm8c4caca28c,125000000
terra18dqq84svtpy46dpn9n2uaqfe2tt0cw5nr0xw54,125000000
terra12my3d3yg04qzf6r3s76r3ctw74ef3pta3djqf6,125000000
terra1h7hzgt6jenldgvs4ktygh3t28dptj0qjz6vj85,125000000
terra1cgckt8rzjqjs0md7tzdmljpu0txkt3w2jnze4j,125000000
terra1w6p6mtex3dhw7pgfatmujzaeyg7nxlya5j67qp,58983407
terra1hwl572t3uw2g3j9f4tt28r52fuzxqr89qxdptm,125000000
terra1zzs8tx3euy8j5tnjp78tkd0473wypgvducjk00,73249013
terra1jr4zd9kpcjzxxyqpetasuxg6dg8jsr8ztx56cx,125000000
terra1try2vd7h7ty4znw6hz2pfe5y8ta6tcvcah5qa9,250000000
terra147953hnk6w6r8jwt0s8cpfvuk8avsz33xnccpe,259590000
terra1gf6p2rsr7gay6vyavvvweqg6kxg7ens0yannw6,125000000
terra1875ltfru0rnd26tr23aymsc6pwln2fe9g64upk,64023242
terra14aswq3cheyet3lahpnfze9vrqdyzkxspa7epd7,573630000
terra186l9tuzqhhjdmwhvmp59mzy2d3sn86q7fln49k,180000000
terra1t2fcyxl952xj5rz0wxww9y6azex5naffsmvh8l,125000000
terra16xegymupr9thp8fk34zv43nmkfn5kr6ahwx2fs,169860000
terra1u59sxmx4a2ehlt60thtwdgzqtlqgr356m7du4p,10000000
terra1gd9sm2d8k3sl4a2kaewenlkf9z5yvur0epv6jf,103099546
terra1z9jmvk5k9lrj8uw7yt2grwhl5ptkym47y9ysvr,60000000
terra15jflzsqr62yphav6n6nqlsn325jjrsd7a4727d,70000000
terra1ahs7sgt9az5a2kzvqwpuhhdj5uz6nrvuhhdk7l,150000000
terra1qzyw60yxh5dr536hqjgr6s7e4jtcwsjyvxrjye,293000000
terra1qzyw60yxh5dr536hqjgr6s7e4jtcwsjyvxrjye,293990000
terra1qzyw60yxh5dr536hqjgr6s7e4jtcwsjyvxrjye,499000000
terra1qzyw60yxh5dr536hqjgr6s7e4jtcwsjyvxrjye,499960000
terra1qzyw60yxh5dr536hqjgr6s7e4jtcwsjyvxrjye,500000000
terra1yd3r8fdd0rnt42rqplyxmc5wn7v3pg978q20d8,618490000
terra18lz26xw74msegcawgwmghl4geewjyw9mruez6u,173000000
terra1spqqnyz8kcv9n9efkfkd39xuahsr366xztc7se,4000000
terra1k5g0lvw89ugedfxnvy8w29t2ggg6eza4gasge7,60000000
terra1lskpmwspll9p0vjmdql9cwyz44st906pyx2f4e,125000000
terra19395pmumhfp6cz7e5rcanc59n67g8ty2kffyz5,125000000
terra1jv60yf3dxk092feg2vy5jaq0cg5a0pq889h0xm,700000000
terra1lexw8nj3fy65tzrd9tqgjjchcyf6ggquan3aj5,125000000
terra1j84yff2vsaj6e4h2el92djsv2jntm0s57d8w0p,40000000
terra10mmjux0wrc30uvq6zstfl48y3rcas2f8frvrd4,160000000
